,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
ATF3,tfdimers__MD00322,0.19139586410635154,3.1860483115573097,3.18384e-06,1.0,motif similar to tfdimers__MD00119 ('M00973_reverse_7_M00801_forward dimer: E2A / CREB'; q-value = 3.18e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('RXRA', 1.3126210306184425), ('PPARG', 0.9517902045928044), ('NFE2L2', 2.1424158617893974), ('TGFBR3', 1.057614140407914), ('CLIC4', 0.9888621076266071), ('DNM3', 0.9498617610976907)]",1109
FOXJ3,metacluster_134.3,0.13793205317577548,3.3438922792639394,0.0,1.0,gene is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('SMAD3', 1.2863933544492956), ('NR5A2', 1.742906295000693), ('EFNA1', 1.3873306673259351), ('ROR1', 1.9821739249773884), ('FOXA1', 1.2534314578939616), ('PPARA', 1.1939161449620836)]",703
GATA4,tfdimers__MD00454,0.1687729088024509,3.3690718414018077,4.71419e-06,1.0,motif similar to tfdimers__MD00361 ('M00791_forward_10_M00789_forward dimer: HNF3 / GATA'; q-value = 4.71e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('GATA4', 1.0), ('SPSB1', 2.5244994430349905), ('FOXA1', 2.5492885894537376), ('RUNX3', 4.761333650252315), ('KCNAB2', 1.3935597485615194), ('RXRA', 1.4197459872403295), ('SOX9', 1.1872623536777993), ('CEBPB', 1.0527892538130457)]",916
GATA4,tfdimers__MD00216,0.1576399146561628,3.054182728736173,3.28254e-06,1.0,gene is annotated for similar motif tfdimers__MD00568 ('M01743_reverse_10_M00789_forward dimer: ING4 / GATA'; q-value = 3.28e-06),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('SPSB1', 2.5244994430349905), ('FOXA1', 2.5492885894537376), ('PDE4B', 1.7547802666967915), ('HNF1A', 0.9211396835906557), ('FOXA2', 1.3685034220509944), ('CEBPB', 1.0527892538130457), ('GATA4', 1.0), ('RXRA', 1.4197459872403295)]",765
HNF1B,tfdimers__MD00165,0.13760709010339733,3.3738288299586476,1.09867e-06,1.0,gene is annotated for similar motif tfdimers__MD00076 ('M00790_forward_10_M01270_reverse dimer: HNF1 / PPARG'; q-value = 1.1e-06),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('CCDC30', 3.2483198466834784), ('MAFK', 1.0844934629294576), ('ATP1A1', 1.036531685688027), ('PKN2-AS1', 3.0921263925961022)]",585
HNF1B,metacluster_74.21,0.14717872968980797,3.698412177716696,8.09761e-08,1.0,gene is annotated for similar motif hocomoco__HNF1B_HUMAN.H11MO.0.A ('HNF1B_HUMAN'; q-value = 8.1e-08),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('RXRA', 1.997411413826097), ('PKN2-AS1', 3.0921263925961022), ('ATP1A1', 1.036531685688027), ('SP3', 1.8804768813171255)]",485
HNF1B,tfdimers__MD00024,0.14387001477104874,3.58621052663984,3.80223e-11,1.0,gene is annotated for similar motif tfdimers__MD00289 ('M00790_forward_7_M01410_reverse dimer: HNF1 / IRX4'; q-value = 3.8e-11),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('AJAP1', 1.2803423907849778), ('HNF1B', 1.0), ('SLC44A3', 1.748302487325516), ('RXRA', 1.997411413826097), ('PKN2-AS1', 3.0921263925961022), ('MAFK', 1.0844934629294576), ('PBX1', 3.0811482479350256)]",865
HNF1B,tfdimers__MD00416,0.14248153618906942,3.5391259052058017,0.0,1.0,gene is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('AJAP1', 1.2803423907849778), ('RXRA', 1.997411413826097), ('MAFK', 1.0844934629294576), ('HNF1B', 1.0)]",233
NFE2L2,tfdimers__MD00007,0.14479619944907982,3.6780813110956205,6.58339e-07,1.0,motif similar to tfdimers__MD00238 ('M01250_forward_3_M00983_forward dimer: E2F1 / MAF'; q-value = 6.58e-07) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('KCNAB2', 1.86047910379342), ('ADGRL2', 2.2454902077620087), ('YAP1', 1.543630647080553), ('PPARG', 2.2811952469710484), ('LEPR', 1.6739432566848889), ('FMO5', 1.0937018996999246)]",462
RXRA,tfdimers__MD00246,0.18005908419497785,3.0000860196631822,7.1057e-06,1.0,motif similar to tfdimers__MD00121 ('M00160_forward_7_M00963_reverse dimer: SRY / T3R'; q-value = 7.11e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('AJAP1', 1.924720897802762), ('RXRA', 1.0), ('TP73', 1.278145993688375), ('TMEM51', 1.448936260303041), ('GATA4', 1.1610953887447646), ('PPARA', 0.9277027778044755)]",776
RXRA,metacluster_74.17,0.20322008862629246,3.573550915014328,4.15864e-06,1.0,"gene is annotated for similar motif tfdimers__MD00094 ('M00096_forward_4_M00964_reverse dimer: Pbx-1 / PXR, CAR, LXR, FXR'; q-value = 4.16e-06)","frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('HNF1B', 0.9210200581920936), ('GATA4', 1.1610953887447646), ('SPSB1', 0.9322113839707787), ('ADGRL2', 1.0742387881321693), ('SLC44A5', 4.242721492262811), ('HNF4A', 0.9675465193998717), ('TP73', 1.278145993688375), ('PLPP3', 1.6829769582277931), ('AJAP1', 1.924720897802762), ('PPARA', 0.9277027778044755)]",1489
RXRA,tfdimers__MD00442,0.18847858197932052,3.2085522124885344,1.14762e-06,1.0,"motif similar to tfdimers__MD00094 ('M00096_forward_4_M00964_reverse dimer: Pbx-1 / PXR, CAR, LXR, FXR'; q-value = 1.15e-06) which is directly annotated","frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('HNF1B', 0.9210200581920936), ('ADGRL2', 1.0742387881321693), ('TP73', 1.278145993688375), ('HNF4A', 0.9675465193998717), ('PPARA', 0.9277027778044755), ('IL12RB2', 1.7156450772394238)]",682
RXRA,tfdimers__MD00200,0.18348596750369275,3.0849354174447288,9.73482e-09,1.0,"motif similar to tfdimers__MD00094 ('M00096_forward_4_M00964_reverse dimer: Pbx-1 / PXR, CAR, LXR, FXR'; q-value = 9.73e-09) which is directly annotated","frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('HNF1B', 0.9210200581920936), ('GATA4', 1.1610953887447646), ('SPSB1', 0.9322113839707787), ('TP73', 1.278145993688375), ('ADGRL2', 1.0742387881321693), ('RXRA', 1.0), ('YAP1', 2.399390152939571)]",779
RXRA,tfdimers__MD00135,0.194711964549483,3.362890341211866,0.0,1.0,gene is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('TP73', 1.278145993688375), ('AJAP1', 1.924720897802762), ('HNF1B', 0.9210200581920936), ('HNF4A', 0.9675465193998717), ('ADGRL2', 1.0742387881321693), ('PPARA', 0.9277027778044755), ('RXRA', 1.0)]",916
TEAD1,tfdimers__MD00437,0.21104772576783987,3.125746515252467,6.76771e-06,1.0,motif similar to tfdimers__MD00544 ('M01035_forward_10_M01817_reverse dimer: YY1 / TEF-1'; q-value = 6.77e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'weight>75.0%', 'activating'})","[('ADGRL2', 0.9065170322940304), ('SMAD2', 0.9825167466760664), ('ATF2', 1.0444522884974714), ('LEPR', 1.1873811491162107), ('UAP1', 1.1414306730783876), ('DNM3', 0.9101416993481164), ('FOXJ3', 1.267893021855295), ('TEAD1', 1.0)]",549
GATA6,tfdimers__MD00226,0.12103028064992614,3.216869699821178,3.56065e-06,1.0,gene is annotated for similar motif tfdimers__MD00562 ('M00025_forward_24_M00789_forward dimer: Elk-1 / GATA'; q-value = 3.56e-06),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top50', 'activating'})","[('ADGRL2', 0.36155506850670244), ('YAP1', 0.42080942494891954), ('TTLL7', 0.8976656742545183), ('E2F3', 1.48299136471218), ('KAZN', 0.3234589757086885), ('SLC44A5', 0.359880780483365), ('CACHD1', 1.53186759636724), ('FOXA3', 5.122198989565831), ('AK5', 1.3322312850468225)]",1181
HNF1A,tfdimers__MD00108,0.14565309136948723,3.7514728877235344,1.63521e-07,1.0,motif similar to tfdimers__MD00416 ('M00790_forward_6_M00790_reverse dimer: HNF1 / HNF1'; q-value = 1.64e-07) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top50', 'activating'})","[('GATA4', 0.8425913041235105), ('MAFG', 2.293332377635945), ('ADGRL2', 2.0080321780839148), ('TBX15', 0.6646665442785541), ('CACHD1', 1.2316371742707746), ('KCNAB2', 2.6464789639122266), ('HNF1A', 1.0), ('TXNIP', 0.1976559916444848), ('UAP1', 0.30304386780162484)]",1074
HNF1B,metacluster_74.6,0.14051389509120263,3.717310453102828,1.43528e-06,1.0,motif similar to tfdimers__MD00328 ('M00790_forward_8_M00775_forward dimer: HNF1 / NF-Y'; q-value = 1.44e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top50', 'activating'})","[('PRDM16', 0.6762327077861399), ('AJAP1', 1.2803423907849778), ('RXRA', 1.997411413826097)]",31
HNF1B,metacluster_74.21,0.13371234241352067,3.453162261778072,8.09761e-08,1.0,gene is annotated for similar motif hocomoco__HNF1B_HUMAN.H11MO.0.A ('HNF1B_HUMAN'; q-value = 8.1e-08),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top50', 'activating'})","[('PRDM16', 0.6762327077861399), ('GATA6', 1.3551178165652138), ('PKN2-AS1', 3.0921263925961022), ('DNM3', 0.07057808577991395), ('ATP1A1', 1.036531685688027), ('SOX9', 0.5903044616359792), ('SLC44A3', 1.748302487325516), ('LRRIQ3', 0.5205077482686081), ('TMEM51', 2.6978776094190646)]",909
HNF1B,tfdimers__MD00041,0.12469513242416956,3.1029657960066137,2.57092e-12,1.0,gene is annotated for similar motif tfdimers__MD00289 ('M00790_forward_7_M01410_reverse dimer: HNF1 / IRX4'; q-value = 2.57e-12),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top50', 'activating'})","[('AJAP1', 1.2803423907849778), ('PRDM16', 0.6762327077861399), ('ROR1', 0.6921103001399924), ('HNF1B', 1.0), ('SLC44A3', 1.748302487325516), ('RXRA', 1.997411413826097), ('PKN2-AS1', 3.0921263925961022), ('DNAJC6', 0.8560906178396257), ('NR5A2', 0.3954055522573909), ('MAFK', 1.0844934629294576), ('PBX1', 3.0811482479350256), ('SMAD3', 0.34594516603131115)]",1054
HNF1B,tfdimers__MD00416,0.12749476143038713,3.2116934606175604,0.0,1.0,gene is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top50', 'activating'})","[('AJAP1', 1.2803423907849778), ('PRDM16', 0.6762327077861399), ('RXRA', 1.997411413826097), ('MAFK', 1.0844934629294576), ('HNF1B', 1.0), ('NR5A2', 0.3954055522573909), ('ROR1', 0.6921103001399924)]",642
NFE2L2,tfdimers__MD00007,0.13560166260176565,3.7572640530177224,6.58339e-07,1.0,motif similar to tfdimers__MD00238 ('M01250_forward_3_M00983_forward dimer: E2F1 / MAF'; q-value = 6.58e-07) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top50', 'activating'})","[('KCNAB2', 1.86047910379342), ('ADGRL2', 2.2454902077620087), ('YAP1', 1.543630647080553), ('PPARG', 2.2811952469710484), ('LEPR', 1.6739432566848889), ('FMO5', 1.0937018996999246)]",462
RXRB,tfdimers__MD00004,0.1364520661454768,3.6641943171272287,9.39554e-06,1.0,motif similar to tfdimers__MD00121 ('M00160_forward_7_M00963_reverse dimer: SRY / T3R'; q-value = 9.4e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top50', 'activating'})","[('PRDM16', 0.2700911640502025), ('MAFG', 1.9013152810175225), ('GATA4', 0.11507206245749359), ('SOX4', 1.4745031858799618), ('MYC', 0.045041557909080945), ('MFSD2A', 0.09392172399002241)]",545
TEAD4,metacluster_171.1,0.1373981071174572,3.3623167973160357,5.11564e-07,0.921659,gene is orthologous to ENSMUSG00000030353 in M. musculus (identity = 92%) which is annotated for similar motif hocomoco__TEAD4_MOUSE.H11MO.0.A ('TEAD4_MOUSE'; q-value = 5.12e-07),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top50', 'activating'})","[('SMAD3', 0.25308955030278835), ('E2F3', 0.2752136899698613), ('HNF1A', 0.8384945684581719), ('TEAD4', 1.0), ('RASAL2', 0.06414152625544921), ('GATA6', 0.5352738189424661)]",977
FOXJ3,metacluster_134.3,0.1789055356263628,4.068165395826422,0.0,1.0,gene is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('SMAD3', 1.2863933544492956), ('NR5A2', 1.742906295000693), ('EFNA1', 1.3873306673259351), ('ROR1', 1.9821739249773884), ('FOXA1', 1.2534314578939616), ('PPARA', 1.1939161449620836)]",703
GATA4,tfdimers__MD00454,0.16965604557923614,3.011607370486626,4.71419e-06,1.0,motif similar to tfdimers__MD00361 ('M00791_forward_10_M00789_forward dimer: HNF3 / GATA'; q-value = 4.71e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('GATA4', 1.0), ('TP73', 0.18530491136408755), ('MYC', 1.567105615063934), ('SPSB1', 2.5244994430349905), ('IGSF21', 2.809164360246454), ('RUNX3', 4.761333650252315), ('FOXA1', 2.5492885894537376)]",1218
HNF1B,metacluster_74.6,0.16877866749591852,3.623297745820573,1.43528e-06,1.0,motif similar to tfdimers__MD00328 ('M00790_forward_8_M00775_forward dimer: HNF1 / NF-Y'; q-value = 1.44e-06) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('GATA6', 1.3551178165652138), ('PKN2-AS1', 3.0921263925961022), ('ATP1A1', 1.036531685688027), ('SLC44A3', 1.748302487325516), ('TMEM51', 2.6978776094190646)]",909
HNF1B,metacluster_74.21,0.1904687864417321,4.244983333816407,8.09761e-08,1.0,gene is annotated for similar motif hocomoco__HNF1B_HUMAN.H11MO.0.A ('HNF1B_HUMAN'; q-value = 8.1e-08),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('HNF1B', 1.0), ('RXRA', 1.997411413826097), ('KLF6', 0.8187301206713105), ('FHAD1', 3.22431576678205)]",534
HNF1B,tfdimers__MD00024,0.14790484334914095,3.0250089272654415,3.80223e-11,1.0,gene is annotated for similar motif tfdimers__MD00289 ('M00790_forward_7_M01410_reverse dimer: HNF1 / IRX4'; q-value = 3.8e-11),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('RXRA', 1.997411413826097), ('PKN2-AS1', 3.0921263925961022), ('ATP1A1', 1.036531685688027), ('SP3', 1.8804768813171255)]",485
JUN,tfdimers__MD00349,0.14866626118689721,3.1312519452471292,7.22726e-06,1.0,gene is annotated for similar motif tfdimers__MD00036 ('M00926_forward_6_M01281_reverse dimer: AP-1 / NFAT1'; q-value = 7.23e-06),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('ATF3', 3.449489636584393), ('PDE4B', 2.213483967632916), ('FOXJ3', 1.8990158854785275), ('TXNIP', 7.3219359178212775), ('ROR1', 1.631125783358071)]",809
KLF6,metacluster_3.3,0.13296898079763664,3.0328512917055965,3.5033e-10,1.0,motif similar to hocomoco__KLF6_HUMAN.H11MO.0.A ('KLF6_HUMAN'; q-value = 3.5e-10) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('KLF6', 1.0), ('IFI44L', 2.2281597063906946), ('RIT1', 1.4584102820987714), ('ATP1A1', 1.3100489892761802), ('F3', 1.9695496715616034)]",642
KLF6,metacluster_3.5,0.13338257016248153,3.045712464957211,1.90177e-11,1.0,motif similar to jaspar__MA1517.1 ('KLF6'; q-value = 1.9e-11) which is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('SLC25A33', 1.5440146060716355), ('ADGRL2', 2.356341596618183), ('TEAD1', 0.8538759301280896), ('PTGFR', 2.0064943159592405), ('ATF3', 4.119807712509348), ('SUCO', 1.5761084040319253)]",1361
KLF6,transfac_pro__M07461,0.13657311669128508,3.1449272300410955,0.0,1.0,gene is directly annotated,"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'activating', 'top5perTarget'})","[('TEAD1', 0.8538759301280896), ('SLC25A33', 1.5440146060716355), ('PTGFR', 2.0064943159592405), ('ATF3', 4.119807712509348), ('SMAD2', 1.1697407937586708), ('RIT1', 1.4584102820987714)]",1108
FOXA2,tfdimers__MD00417,0.17289512555391434,4.265761179851503,6.96288e-06,1.0,gene is annotated for similar motif tfdimers__MD00011 ('M00791_forward_4_M01012_forward dimer: HNF3 / HNF3'; q-value = 6.96e-06),"frozenset({'hg38_10kbp_up_10kbp_down_full_tx_v10_clust', 'top10perTarget', 'activating'})","[('GATA4', 1.044583330232817), ('SPSB1', 3.376133183542456), ('FOXA2', 1.0), ('SOX9', 1.9377626136986177), ('CEBPA', 0.7791116984378093)]",1059
